iter	Passed	Remaining
0	0	904
1	1	865
2	2	795
3	3	751
4	3	739
5	4	725
6	4	704
7	5	695
8	6	685
9	6	675
10	7	670
11	8	660
12	8	650
13	9	645
14	9	638
15	10	635
16	10	631
17	11	625
18	12	620
19	12	625
20	13	629
21	14	629
22	14	628
23	15	623
24	16	624
25	16	626
26	17	628
27	18	625
28	18	625
29	19	625
30	19	622
31	20	619
32	21	618
33	21	615
34	22	612
35	22	609
36	23	607
37	23	604
38	24	601
39	24	599
40	25	599
41	26	599
42	27	600
43	27	603
44	28	605
45	29	605
46	29	604
47	30	605
48	31	606
49	32	609
50	32	609
51	33	614
52	34	615
53	35	614
54	35	613
55	36	610
56	36	609
57	37	608
58	38	606
59	38	604
60	39	602
61	39	600
62	40	599
63	40	597
64	41	595
65	41	593
66	42	591
67	43	590
68	43	588
69	44	586
70	44	585
71	45	583
72	46	585
73	46	585
74	47	584
75	47	583
76	48	582
77	49	580
78	49	579
79	50	577
80	50	576
81	51	574
82	51	570
83	52	569
84	53	574
85	54	574
86	54	573
87	55	573
88	55	573
89	56	574
90	57	574
91	58	574
92	58	574
93	59	574
94	60	576
95	61	576
96	62	577
97	62	578
98	63	578
99	64	579
100	65	579
101	65	580
102	66	580
103	67	579
104	67	579
105	68	578
106	69	577
107	69	577
108	70	578
109	71	577
110	71	576
111	72	575
112	73	574
113	73	574
114	74	574
115	75	574
116	75	572
117	76	574
118	77	573
119	78	573
120	79	574
121	79	573
122	80	573
123	81	572
124	81	572
125	82	572
126	82	570
127	83	570
128	84	570
129	85	570
130	85	569
131	86	569
132	87	569
133	87	568
134	88	568
135	89	567
136	89	566
137	90	566
138	91	565
139	92	565
140	92	564
141	93	566
142	94	566
143	95	566
144	96	566
145	96	566
146	97	565
147	98	564
148	98	563
149	99	562
150	99	561
151	100	560
152	101	560
153	101	559
154	102	557
155	103	557
156	103	556
157	104	555
158	104	554
159	105	554
160	106	552
161	106	552
162	107	552
163	108	552
164	109	552
165	109	552
166	110	551
167	111	551
168	112	550
169	112	550
170	113	550
171	114	549
172	114	548
173	115	547
174	116	546
175	116	545
176	117	545
177	118	544
178	118	544
179	119	543
180	119	542
181	120	542
182	121	541
183	121	540
184	122	540
185	123	539
186	123	539
187	124	538
188	125	538
189	126	537
190	126	537
191	127	536
192	128	535
193	128	534
194	129	533
195	129	533
196	130	532
197	131	531
198	131	530
199	132	529
200	132	528
201	133	528
202	134	527
203	135	527
204	135	526
205	136	526
206	137	525
207	138	525
208	138	524
209	139	523
210	139	523
211	140	522
212	141	521
213	141	521
214	142	520
215	143	520
216	143	519
217	144	518
218	145	517
219	145	516
220	146	516
221	147	515
222	147	514
223	148	514
224	149	513
225	149	512
226	150	512
227	151	511
228	151	510
229	152	509
230	152	508
231	153	508
232	154	507
233	154	506
234	155	505
235	155	504
236	156	503
237	156	502
238	157	501
239	157	500
240	158	499
241	159	498
242	159	497
243	160	497
244	161	496
245	161	495
246	162	494
247	162	493
248	163	492
249	163	491
250	164	490
251	165	490
252	165	489
253	166	489
254	167	488
255	167	488
256	168	487
257	169	486
258	169	485
259	170	484
260	170	483
261	171	483
262	172	482
263	172	481
264	173	480
265	174	480
266	174	479
267	175	478
268	175	477
269	176	476
270	176	476
271	177	475
272	178	474
273	178	474
274	179	473
275	180	473
276	181	472
277	181	472
278	182	471
279	183	471
280	183	470
281	184	469
282	184	468
283	185	467
284	185	466
285	186	465
286	187	464
287	187	464
288	188	463
289	189	462
290	189	461
291	190	461
292	190	460
293	191	459
294	191	458
295	192	457
296	193	456
297	193	456
298	194	455
299	194	454
300	195	454
301	196	454
302	197	453
303	197	452
304	198	452
305	199	451
306	199	450
307	200	450
308	200	449
309	201	448
310	202	447
311	202	447
312	203	446
313	203	445
314	204	444
315	205	443
316	205	443
317	206	442
318	207	442
319	207	441
320	208	440
321	208	439
322	209	439
323	210	438
324	211	438
325	211	437
326	212	437
327	213	436
328	213	435
329	214	434
330	214	434
331	215	433
332	215	432
333	216	431
334	217	431
335	218	430
336	218	430
337	219	429
338	219	428
339	220	427
340	220	426
341	221	425
342	221	425
343	222	424
344	223	423
345	223	423
346	224	422
347	225	421
348	225	421
349	226	420
350	227	420
351	227	419
352	228	418
353	229	418
354	229	417
355	230	416
356	231	416
357	231	415
358	232	414
359	232	413
360	233	413
361	233	412
362	234	411
363	235	410
364	235	409
365	236	409
366	236	408
367	237	407
368	238	407
369	238	406
370	239	405
371	240	405
372	240	405
373	241	404
374	242	403
375	243	403
376	243	402
377	244	401
378	244	401
379	245	400
380	246	399
381	246	399
382	247	398
383	247	397
384	248	396
385	249	396
386	249	395
387	250	394
388	250	393
389	251	392
390	251	392
391	252	391
392	253	391
393	253	390
394	254	389
395	254	388
396	255	388
397	256	387
398	257	387
399	257	386
400	258	386
401	259	385
402	259	384
403	260	384
404	261	383
405	261	382
406	262	381
407	262	381
408	263	380
409	263	379
410	264	378
411	264	377
412	265	377
413	266	376
414	266	375
415	267	375
416	267	374
417	268	373
418	268	372
419	269	372
420	270	371
421	271	371
422	271	370
423	272	370
424	273	369
425	273	369
426	274	368
427	275	367
428	275	367
429	276	366
430	277	365
431	277	365
432	278	364
433	279	363
434	279	363
435	280	362
436	281	362
437	281	361
438	282	360
439	282	360
440	283	359
441	284	358
442	284	358
443	285	357
444	286	357
